ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Is_Weekend,Is_Weekend_lower,Is_Weekend_upper,Usage_7D_Avg,Usage_7D_Avg_lower,Usage_7D_Avg_upper,Usage_Hours,Usage_Hours_lower,Usage_Hours_upper,additive_terms,additive_terms_lower,additive_terms_upper,christmas,christmas_lower,christmas_upper,diwali,diwali_lower,diwali_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,holidays,holidays_lower,holidays_upper,independence_day,independence_day_lower,independence_day_upper,new_year,new_year_lower,new_year_upper,republic_day,republic_day_lower,republic_day_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,Service_Type
2022-05-26,144.36789937023948,131.12574175683358,204.4788180897258,144.36789937023948,144.36789937023948,0.0,0.0,0.0,0.024744478474868454,0.024744478474868454,0.024744478474868454,-0.09415773520829762,-0.09415773520829762,-0.09415773520829762,24.638930169380483,24.638930169380483,24.638930169380483,0.0,0.0,0.0,0.0,0.0,0.0,-0.06941325673342916,-0.06941325673342916,-0.06941325673342916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.6431530128310365,4.6431530128310365,4.6431530128310365,20.065190413282878,20.065190413282878,20.065190413282878,0.0,0.0,0.0,169.00682953961996,AI
2022-05-27,144.33597158410478,117.84198726690555,194.09082029411934,144.33597158410478,144.33597158410478,0.0,0.0,0.0,0.005038615555362784,0.005038615555362784,0.005038615555362784,0.45272426477288785,0.45272426477288785,0.45272426477288785,12.717072375107154,12.717072375107154,12.717072375107154,0.0,0.0,0.0,0.0,0.0,0.0,0.45776288032825063,0.45776288032825063,0.45776288032825063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.80248104575717,-7.80248104575717,-7.80248104575717,20.061790540536073,20.061790540536073,20.061790540536073,0.0,0.0,0.0,157.05304395921195,AI
2022-05-29,144.27211601183538,121.0465616018391,194.4925761560679,144.27211601183538,144.27211601183538,-1.2345192258,-1.2345192258,-1.2345192258,-0.00470500569654501,-0.00470500569654501,-0.00470500569654501,0.0013325242835965669,0.0013325242835965669,0.0013325242835965669,12.601799452012614,12.601799452012614,12.601799452012614,0.0,0.0,0.0,0.0,0.0,0.0,-1.2378917072129483,-1.2378917072129483,-1.2378917072129483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.233034169103473,-5.233034169103473,-5.233034169103473,19.072725328329035,19.072725328329035,19.072725328329035,0.0,0.0,0.0,156.873915463848,AI
2022-06-01,144.1763326534313,129.37530561672145,203.33820153051215,144.1763326534313,144.1763326534313,0.0,0.0,0.0,-0.0259399623541985,-0.0259399623541985,-0.0259399623541985,0.5109636008936616,0.5109636008936616,0.5109636008936616,23.21267654320948,23.21267654320948,23.21267654320948,0.0,0.0,0.0,0.0,0.0,0.0,0.485023638539463,0.485023638539463,0.485023638539463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.30080006403208,7.30080006403208,7.30080006403208,15.426852840637935,15.426852840637935,15.426852840637935,0.0,0.0,0.0,167.38900919664079,AI
2022-06-03,144.1124770811619,110.68369095937722,188.14339648179038,144.1124770811619,144.1124770811619,0.0,0.0,0.0,-0.00896308482707759,-0.00896308482707759,-0.00896308482707759,0.29255009575827917,0.29255009575827917,0.29255009575827917,4.382540935569056,4.382540935569056,4.382540935569056,0.0,0.0,0.0,0.0,0.0,0.0,0.28358701093120153,0.28358701093120153,0.28358701093120153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.802481045725866,-7.802481045725866,-7.802481045725866,11.901434970363722,11.901434970363722,11.901434970363722,0.0,0.0,0.0,148.49501801673097,AI
2022-06-04,144.08054929502723,114.36556743134102,191.45532636047332,144.08054929502723,144.08054929502723,-1.2345192258,-1.2345192258,-1.2345192258,0.031745675496133836,0.031745675496133836,0.031745675496133836,-0.5294822151376007,-0.5294822151376007,-0.5294822151376007,8.507442589930259,8.507442589930259,8.507442589930259,0.0,0.0,0.0,0.0,0.0,0.0,-1.7322557654414668,-1.7322557654414668,-1.7322557654414668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3182650424640745,0.3182650424640745,0.3182650424640745,9.92143331290765,9.92143331290765,9.92143331290765,0.0,0.0,0.0,152.5879918849575,AI
2022-06-06,144.01669372275785,114.25303897508243,189.18765081118514,144.01669372275785,144.01669372275785,0.0,0.0,0.0,0.027115680745096127,0.027115680745096127,0.027115680745096127,0.1442886283042882,0.1442886283042882,0.1442886283042882,7.750859048171518,7.750859048171518,7.750859048171518,0.0,0.0,0.0,0.0,0.0,0.0,0.17140430904938433,0.17140430904938433,0.17140430904938433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8488337943889426,1.8488337943889426,1.8488337943889426,5.73062094473319,5.73062094473319,5.73062094473319,0.0,0.0,0.0,151.76755277092937,AI
2022-06-07,143.9847659387375,107.53175355293725,183.2551145437449,143.9847659387375,143.9847659387375,0.0,0.0,0.0,0.018682498849604608,0.018682498849604608,0.018682498849604608,0.14769845585040495,0.14769845585040495,0.14769845585040495,2.692549237827669,2.692549237827669,2.692549237827669,0.0,0.0,0.0,0.0,0.0,0.0,0.16638095470000955,0.16638095470000955,0.16638095470000955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0755366988127726,-1.0755366988127726,-1.0755366988127726,3.6017049819404323,3.6017049819404323,3.6017049819404323,0.0,0.0,0.0,146.67731517656517,AI
2022-06-11,143.8570548026562,100.81109537932794,175.1665144387758,143.8570548026562,143.8570548026562,-1.2345192258,-1.2345192258,-1.2345192258,0.07088725135240866,0.07088725135240866,0.07088725135240866,-1.0444618213282981,-1.0444618213282981,-1.0444618213282981,-6.1497725419071,-6.1497725419071,-6.1497725419071,0.0,0.0,0.0,0.0,0.0,0.0,-2.2080937957758895,-2.2080937957758895,-2.2080937957758895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3182650424593155,0.3182650424593155,0.3182650424593155,-4.259943788590528,-4.259943788590528,-4.259943788590528,0.0,0.0,0.0,137.70728226074908,AI
2022-06-13,143.79319923461554,96.90691474524652,174.11964523737342,143.79319923461554,143.79319923461554,0.0,0.0,0.0,0.08667303931219426,0.08667303931219426,0.08667303931219426,-0.4513898996042413,-0.4513898996042413,-0.4513898996042413,-5.887850641024337,-5.887850641024337,-5.887850641024337,0.0,0.0,0.0,0.0,0.0,0.0,-0.36471686029204703,-0.36471686029204703,-0.36471686029204703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8488337943845607,1.8488337943845607,1.8488337943845607,-7.371967575116852,-7.371967575116852,-7.371967575116852,0.0,0.0,0.0,137.9053485935912,AI
2022-06-23,143.4739213944123,96.89222199438508,172.60871481193138,143.4739213944123,143.4739213944123,0.0,0.0,0.0,0.16123244814510823,0.16123244814510823,0.16123244814510823,-1.627334238686602,-1.627334238686602,-1.627334238686602,-8.02501675111403,-8.02501675111403,-8.02501675111403,0.0,0.0,0.0,0.0,0.0,0.0,-1.466101790541494,-1.466101790541494,-1.466101790541494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.643153012803339,4.643153012803339,4.643153012803339,-11.202067973375875,-11.202067973375875,-11.202067973375875,0.0,0.0,0.0,135.44890464329825,AI
2022-07-01,143.21849912224965,91.16086007913485,163.88486032757055,143.21849912224965,143.21849912224965,0.0,0.0,0.0,0.18616284430920876,0.18616284430920876,0.18616284430920876,-0.4224315959157954,-0.4224315959157954,-0.4224315959157954,-13.657306211774824,-13.657306211774824,-13.657306211774824,0.0,0.0,0.0,0.0,0.0,0.0,-0.2362687516065866,-0.2362687516065866,-0.2362687516065866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.802481045758689,-7.802481045758689,-7.802481045758689,-5.618556414409548,-5.618556414409548,-5.618556414409548,0.0,0.0,0.0,129.56119291047483,AI
2022-07-05,143.09078798616832,99.76903191987995,180.34866847788592,143.09078798616832,143.09078798616832,0.0,0.0,0.0,0.15763759783476372,0.15763759783476372,0.15763759783476372,0.28859660099798945,0.28859660099798945,0.28859660099798945,-3.5417933438550886,-3.5417933438550886,-3.5417933438550886,0.0,0.0,0.0,0.0,0.0,0.0,0.44623419883275317,0.44623419883275317,0.44623419883275317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0755366988223887,-1.0755366988223887,-1.0755366988223887,-2.9124908438654526,-2.9124908438654526,-2.9124908438654526,0.0,0.0,0.0,139.54899464231323,AI
2022-07-14,142.8034379393301,112.85635973886583,186.26711271543542,142.8034379393301,142.8034379393301,0.0,0.0,0.0,0.13579299651268273,0.13579299651268273,0.13579299651268273,0.7707724556932021,0.7707724556932021,0.7707724556932021,7.117625560401059,7.117625560401059,7.117625560401059,0.0,0.0,0.0,0.0,0.0,0.0,0.9065654522058848,0.9065654522058848,0.9065654522058848,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.643153012839657,4.643153012839657,4.643153012839657,1.5679070953555176,1.5679070953555176,1.5679070953555176,0.0,0.0,0.0,149.92106349973116,AI
2022-07-16,142.73958237336606,107.59082091894146,180.640709198672,142.73958237336606,142.73958237336606,-1.2345192258,-1.2345192258,-1.2345192258,0.11926989382516835,0.11926989382516835,0.11926989382516835,0.6215664134015616,0.6215664134015616,0.6215664134015616,2.428783894590342,2.428783894590342,2.428783894590342,0.0,0.0,0.0,0.0,0.0,0.0,-0.49368291857327,-0.49368291857327,-0.49368291857327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3182650424524603,0.3182650424524603,0.3182650424524603,2.6042017707111516,2.6042017707111516,2.6042017707111516,0.0,0.0,0.0,145.1683662679564,AI
2022-07-17,142.70765459038404,102.24217596870582,176.6556178962605,142.70765459038404,142.70765459038404,-1.2345192258,-1.2345192258,-1.2345192258,0.04865866802938203,0.04865866802938203,0.04865866802938203,0.9806056239837165,0.9806056239837165,0.9806056239837165,-2.274014405398529,-2.274014405398529,-2.274014405398529,0.0,0.0,0.0,0.0,0.0,0.0,-0.2052549337869014,-0.2052549337869014,-0.2052549337869014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.233034169104632,-5.233034169104632,-5.233034169104632,3.1642746974930036,3.1642746974930036,3.1642746974930036,0.0,0.0,0.0,140.4336401849855,AI
2022-07-21,142.57994345845594,115.43489055817237,189.64300016538118,142.57994345845594,142.57994345845594,0.0,0.0,0.0,0.008522737157333574,0.008522737157333574,0.008522737157333574,0.6996730663799783,0.6996730663799783,0.6996730663799783,11.039267172448465,11.039267172448465,11.039267172448465,0.0,0.0,0.0,0.0,0.0,0.0,0.7081958035373119,0.7081958035373119,0.7081958035373119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.643153012810053,4.643153012810053,4.643153012810053,5.687918356101101,5.687918356101101,5.687918356101101,0.0,0.0,0.0,153.6192106309044,AI
